,filename,style,in_train,who
46,65341.jpg,Expressionism,True,Kayvon
47,51415.jpg,Art Nouveau (Modern),True,Kayvon
48,91879.jpg,Baroque,True,Kayvon
49,15569.jpg,Art Nouveau (Modern),True,Kayvon
50,38383.jpg,Impressionism,False,Kayvon
51,49864.jpg,Baroque,True,Kayvon
52,1127.jpg,Baroque,True,Kayvon
53,23209.jpg,Realism,True,Kayvon
54,41539.jpg,Baroque,False,Kayvon
55,100478.jpg,Art Nouveau (Modern),True,Kayvon
56,100829.jpg,Realism,True,Kayvon
57,92409.jpg,Art Nouveau (Modern),True,Kayvon
58,51728.jpg,Expressionism,True,Kayvon
59,95360.jpg,Impressionism,True,Kayvon
60,68866.jpg,Baroque,True,Kayvon
61,79131.jpg,Art Nouveau (Modern),True,Kayvon
62,61952.jpg,Art Nouveau (Modern),True,Kayvon
63,99839.jpg,Art Nouveau (Modern),True,Kayvon
64,53800.jpg,Art Nouveau (Modern),True,Kayvon
65,98066.jpg,Post-Impressionism,False,Kayvon
66,48930.jpg,Realism,False,Kayvon
67,11057.jpg,Art Nouveau (Modern),True,Kayvon
68,89941.jpg,Art Nouveau (Modern),True,Kayvon
69,26741.jpg,Art Nouveau (Modern),True,Kayvon
70,82971.jpg,Expressionism,True,Kayvon
71,96372.jpg,Expressionism,True,Kayvon
72,87438.jpg,Art Nouveau (Modern),True,Kayvon
73,13495.jpg,Art Nouveau (Modern),False,Kayvon
74,88945.jpg,Art Nouveau (Modern),True,Kayvon
75,63849.jpg,Art Nouveau (Modern),False,Kayvon
76,20153.jpg,Renaissance,False,Kayvon
77,70079.jpg,Baroque,False,Kayvon
78,13674.jpg,Art Nouveau (Modern),False,Kayvon
79,80950.jpg,Art Nouveau (Modern),True,Kayvon
80,88764.jpg,Art Nouveau (Modern),False,Kayvon
81,48541.jpg,Art Nouveau (Modern),True,Kayvon
82,9549.jpg,Art Nouveau (Modern),True,Kayvon
83,49873.jpg,Art Nouveau (Modern),True,Kayvon
84,101495.jpg,Expressionism,True,Kayvon
85,38397.jpg,Art Nouveau (Modern),True,Kayvon
86,80474.jpg,Baroque,False,Kayvon
87,87495.jpg,Baroque,True,Kayvon
88,32754.jpg,Art Nouveau (Modern),True,Kayvon
89,88558.jpg,Realism,True,Kayvon
90,49757.jpg,Impressionism,True,Kayvon
91,22515.jpg,Art Nouveau (Modern),True,Kayvon
92,17680.jpg,Realism,True,Kayvon
93,45969.jpg,Art Nouveau (Modern),True,Kayvon
94,8180.jpg,Baroque,False,Kayvon
95,47501.jpg,Realism,True,Kayvon
96,16091.jpg,Renaissance,True,Kayvon
97,1211.jpg,Art Nouveau (Modern),True,Kayvon
98,34679.jpg,Art Nouveau (Modern),True,Kayvon
99,56560.jpg,Renaissance,False,Kayvon
100,78338.jpg,Art Nouveau (Modern),True,Kayvon
101,53841.jpg,Impressionism,True,Kayvon
102,40197.jpg,Art Nouveau (Modern),True,Kayvon
103,85979.jpg,Post-Impressionism,True,Kayvon
104,271.jpg,Art Nouveau (Modern),True,Kayvon
105,1589.jpg,Realism,False,Kayvon
106,99522.jpg,Art Nouveau (Modern),True,Kayvon
107,23476.jpg,Art Nouveau (Modern),False,Kayvon
108,83567.jpg,Art Nouveau (Modern),True,Kayvon
109,24036.jpg,Baroque,True,Kayvon
110,34382.jpg,Art Nouveau (Modern),True,Kayvon
111,20616.jpg,Realism,False,Kayvon
112,61194.jpg,Art Nouveau (Modern),False,Kayvon
113,86917.jpg,Realism,True,Kayvon
114,5303.jpg,Realism,True,Kayvon
115,6586.jpg,Art Nouveau (Modern),False,Kayvon
116,36041.jpg,Art Nouveau (Modern),True,Kayvon
117,45541.jpg,Art Nouveau (Modern),True,Kayvon
118,76278.jpg,Art Nouveau (Modern),True,Kayvon
119,49829.jpg,Realism,True,Kayvon
120,85018.jpg,Impressionism,False,Kayvon
121,97649.jpg,Realism,True,Kayvon
122,41316.jpg,Baroque,True,Kayvon
123,44926.jpg,Baroque,True,Kayvon
124,65940.jpg,Art Nouveau (Modern),True,Kayvon
125,91301.jpg,Art Nouveau (Modern),True,Kayvon
126,19019.jpg,Art Nouveau (Modern),False,Kayvon
127,47592.jpg,Baroque,True,Kayvon
128,51073.jpg,Art Nouveau (Modern),True,Kayvon
129,81912.jpg,Impressionism,True,Kayvon
130,18436.jpg,Renaissance,True,Kayvon
131,6977.jpg,Art Nouveau (Modern),True,Kayvon
132,102671.jpg,Renaissance,True,Kayvon
133,35843.jpg,Art Nouveau (Modern),True,Kayvon
134,80947.jpg,Art Nouveau (Modern),True,Kayvon
135,5145.jpg,Renaissance,True,Kayvon
136,17146.jpg,Impressionism,True,Kayvon
137,46012.jpg,Post-Impressionism,True,Kayvon
138,27781.jpg,Baroque,False,Kayvon
139,55851.jpg,Art Nouveau (Modern),True,Kayvon
140,31655.jpg,Realism,True,Kayvon
141,65887.jpg,Art Nouveau (Modern),True,Kayvon
142,74857.jpg,Art Nouveau (Modern),True,Kayvon
143,7700.jpg,Renaissance,True,Kayvon
144,30376.jpg,Renaissance,True,Kayvon
145,1089.jpg,Renaissance,True,Kayvon
146,53600.jpg,Art Nouveau (Modern),True,Kayvon
147,66594.jpg,Impressionism,False,Kayvon
148,73923.jpg,Art Nouveau (Modern),True,Kayvon
149,956.jpg,Post-Impressionism,False,Kayvon
150,68576.jpg,Baroque,False,Kayvon
151,21508.jpg,Renaissance,False,Kayvon
152,69300.jpg,Post-Impressionism,True,Kayvon
153,46153.jpg,Baroque,False,Kayvon
154,97348.jpg,Renaissance,True,Kayvon
155,44328.jpg,Renaissance,False,Kayvon
156,5241.jpg,Impressionism,True,Kayvon
157,3965.jpg,Realism,False,Kayvon
158,62271.jpg,Renaissance,True,Kayvon
159,65103.jpg,Art Nouveau (Modern),True,Kayvon
160,59630.jpg,Baroque,False,Kayvon
161,76728.jpg,Baroque,True,Kayvon
162,55948.jpg,Realism,True,Kayvon
163,87503.jpg,Renaissance,True,Kayvon
164,8362.jpg,Realism,True,Kayvon
165,12836.jpg,Post-Impressionism,True,Kayvon
166,9348.jpg,Realism,True,Kayvon
167,75013.jpg,Art Nouveau (Modern),True,Kayvon
168,8943.jpg,Impressionism,True,Kayvon
169,63576.jpg,Renaissance,True,Kayvon
170,21761.jpg,Renaissance,False,Kayvon
171,17862.jpg,Realism,True,Kayvon
172,40855.jpg,Realism,True,Kayvon
173,393.jpg,Realism,True,Kayvon
174,71631.jpg,Art Nouveau (Modern),False,Kayvon
175,36785.jpg,Art Nouveau (Modern),True,Kayvon
176,77675.jpg,Art Nouveau (Modern),False,Kayvon
177,29159.jpg,Art Nouveau (Modern),True,Kayvon
178,77110.jpg,Art Nouveau (Modern),True,Kayvon
179,3022.jpg,Art Nouveau (Modern),False,Kayvon
180,62684.jpg,Art Nouveau (Modern),False,Kayvon
181,254.jpg,Realism,True,Kayvon
182,22289.jpg,Impressionism,False,Kayvon
183,8250.jpg,Impressionism,True,Kayvon
184,55861.jpg,Art Nouveau (Modern),True,Kayvon
185,16347.jpg,Post-Impressionism,True,Kayvon
186,99956.jpg,Impressionism,True,Kayvon
187,87043.jpg,Art Nouveau (Modern),False,Kayvon
188,7060.jpg,Art Nouveau (Modern),True,Kayvon
189,83008.jpg,Renaissance,True,Kayvon
190,97297.jpg,Art Nouveau (Modern),False,Kayvon
191,95210.jpg,Renaissance,True,Kayvon
192,83076.jpg,Renaissance,True,Kayvon
193,42265.jpg,Art Nouveau (Modern),True,Kayvon
194,92545.jpg,Renaissance,True,Kayvon
195,67638.jpg,Baroque,False,Kayvon
196,38172.jpg,Realism,False,Kayvon
197,57598.jpg,Realism,True,Kayvon
198,73905.jpg,Realism,False,Kayvon
199,60044.jpg,Renaissance,True,Kayvon
200,93353.jpg,Impressionism,True,Kayvon
201,26366.jpg,Realism,True,Kayvon
202,66051.jpg,Baroque,True,Kayvon
203,84409.jpg,Post-Impressionism,True,Kayvon
204,64794.jpg,Renaissance,True,Kayvon
205,31717.jpg,Post-Impressionism,True,Kayvon
206,77220.jpg,Realism,True,Kayvon
207,90339.jpg,Art Nouveau (Modern),False,Kayvon
208,45851.jpg,Baroque,True,Kayvon
209,95477.jpg,Impressionism,True,Kayvon
210,62497.jpg,Renaissance,True,Kayvon
211,11908.jpg,Art Nouveau (Modern),True,Kayvon
212,38493.jpg,Art Nouveau (Modern),True,Kayvon
213,44041.jpg,Post-Impressionism,False,Kayvon
214,73334.jpg,Art Nouveau (Modern),False,Kayvon
215,71149.jpg,Impressionism,True,Kayvon
216,21812.jpg,Realism,True,Kayvon
217,52598.jpg,Renaissance,True,Kayvon
218,95186.jpg,Art Nouveau (Modern),True,Kayvon
219,70892.jpg,Realism,True,Kayvon
220,5217.jpg,Realism,False,Kayvon
221,45108.jpg,Art Nouveau (Modern),True,Kayvon
222,79050.jpg,Realism,False,Kayvon
223,68918.jpg,Baroque,True,Kayvon
224,57230.jpg,Art Nouveau (Modern),True,Kayvon
225,43868.jpg,Expressionism,True,Kayvon
226,27414.jpg,Renaissance,False,Kayvon
227,75881.jpg,Realism,True,Kayvon
228,38985.jpg,Renaissance,True,Kayvon
229,71922.jpg,Realism,True,Kayvon
230,5694.jpg,Post-Impressionism,True,Kayvon
231,51408.jpg,Art Nouveau (Modern),True,Kayvon
232,28789.jpg,Realism,True,Kayvon
233,85069.jpg,Art Nouveau (Modern),True,Kayvon
234,20768.jpg,Art Nouveau (Modern),True,Kayvon
235,72083.jpg,Realism,True,Kayvon
236,70088.jpg,Realism,True,Kayvon
237,70020.jpg,Art Nouveau (Modern),True,Kayvon
238,74123.jpg,Renaissance,True,Kayvon
239,67382.jpg,Art Nouveau (Modern),True,Kayvon
240,35919.jpg,Impressionism,False,Kayvon
241,54563.jpg,Renaissance,False,Kayvon
242,70063.jpg,Art Nouveau (Modern),True,Kayvon
243,23239.jpg,Art Nouveau (Modern),True,Kayvon
244,3920.jpg,Realism,False,Kayvon
245,37075.jpg,Post-Impressionism,False,Kayvon
246,60634.jpg,Baroque,True,Kayvon
247,27425.jpg,Renaissance,True,Kayvon
248,2896.jpg,Art Nouveau (Modern),True,Kayvon
249,20445.jpg,Art Nouveau (Modern),True,Kayvon
250,67954.jpg,Realism,False,Kayvon
251,37664.jpg,Impressionism,False,Kayvon
252,49444.jpg,Art Nouveau (Modern),True,Kayvon
253,60161.jpg,Realism,True,Kayvon
254,13423.jpg,Expressionism,False,Kayvon
255,44296.jpg,Impressionism,False,Kayvon
256,41682.jpg,Impressionism,True,Kayvon
257,37256.jpg,Impressionism,True,Kayvon
258,54668.jpg,Impressionism,True,Kayvon
259,60691.jpg,Expressionism,True,Kayvon
260,73466.jpg,Art Nouveau (Modern),True,Kayvon
261,94592.jpg,Realism,True,Kayvon
262,30595.jpg,Baroque,True,Kayvon
263,67798.jpg,Realism,True,Kayvon
264,64210.jpg,Post-Impressionism,True,Kayvon
265,93042.jpg,Baroque,False,Kayvon
266,102940.jpg,Realism,True,Kayvon
267,18398.jpg,Realism,True,Kayvon
268,26882.jpg,Art Nouveau (Modern),False,Kayvon
269,22266.jpg,Realism,False,Kayvon
270,72942.jpg,Baroque,True,Kayvon
271,42954.jpg,Abstract Expressionism,True,Kayvon
272,88767.jpg,Art Nouveau (Modern),True,Kayvon
273,75187.jpg,Art Nouveau (Modern),True,Kayvon
274,58564.jpg,Art Nouveau (Modern),True,Kayvon
275,28179.jpg,Realism,True,Kayvon
276,42415.jpg,Art Nouveau (Modern),True,Kayvon
277,30945.jpg,Art Nouveau (Modern),True,Kayvon
278,2039.jpg,Art Nouveau (Modern),False,Kayvon
279,43015.jpg,Abstract Expressionism,True,Kayvon
280,100830.jpg,Art Nouveau (Modern),True,Kayvon
281,68070.jpg,Art Nouveau (Modern),True,Kayvon
282,19464.jpg,Impressionism,True,Kayvon
283,3016.jpg,Impressionism,True,Kayvon
284,78766.jpg,Realism,True,Kayvon
285,37447.jpg,Baroque,False,Kayvon
286,32071.jpg,Renaissance,False,Kayvon
287,62530.jpg,Realism,True,Kayvon
288,51496.jpg,Art Nouveau (Modern),True,Kayvon
289,27129.jpg,Art Nouveau (Modern),True,Kayvon
290,56641.jpg,Impressionism,True,Kayvon
291,51492.jpg,Art Nouveau (Modern),True,Kayvon
292,79528.jpg,Art Nouveau (Modern),True,Kayvon
293,64311.jpg,Realism,True,Kayvon
294,3632.jpg,Impressionism,True,Kayvon
295,8587.jpg,Medieval,False,Kayvon
296,70787.jpg,Art Nouveau (Modern),True,Kayvon
297,62672.jpg,Baroque,True,Kayvon
298,6282.jpg,Impressionism,False,Kayvon
299,81271.jpg,Renaissance,True,Kayvon
300,43940.jpg,Renaissance,True,Kayvon
301,52850.jpg,Impressionism,True,Kayvon
302,90288.jpg,Realism,True,Kayvon
303,38869.jpg,Realism,True,Kayvon
304,24726.jpg,Art Nouveau (Modern),True,Kayvon
305,11091.jpg,Art Nouveau (Modern),True,Kayvon
306,38502.jpg,Art Nouveau (Modern),True,Kayvon
307,90385.jpg,Renaissance,True,Kayvon
308,4268.jpg,Art Nouveau (Modern),False,Kayvon
309,23250.jpg,Art Nouveau (Modern),False,Kayvon
310,36350.jpg,Impressionism,True,Kayvon
311,58339.jpg,Art Nouveau (Modern),True,Kayvon
312,97356.jpg,Impressionism,True,Kayvon
313,94550.jpg,Realism,True,Kayvon
314,83298.jpg,Art Nouveau (Modern),False,Kayvon
315,9125.jpg,Realism,True,Kayvon
316,92192.jpg,Impressionism,True,Kayvon
317,72432.jpg,Baroque,True,Kayvon
318,92742.jpg,Realism,True,Kayvon
319,35709.jpg,Art Nouveau (Modern),False,Kayvon
320,77251.jpg,Realism,False,Kayvon
321,57846.jpg,Art Nouveau (Modern),True,Kayvon
322,52965.jpg,Renaissance,False,Kayvon
323,93537.jpg,Expressionism,True,Kayvon
324,41435.jpg,Realism,True,Kayvon
325,9797.jpg,Art Nouveau (Modern),True,Kayvon
326,80265.jpg,Art Nouveau (Modern),True,Kayvon
327,39349.jpg,Art Nouveau (Modern),True,Kayvon
328,19749.jpg,Realism,True,Kayvon
329,34943.jpg,Realism,False,Kayvon
330,98622.jpg,Impressionism,True,Kayvon
331,68709.jpg,Expressionism,False,Kayvon
332,102149.jpg,Art Nouveau (Modern),True,Kayvon
333,83543.jpg,Art Nouveau (Modern),True,Kayvon
334,52880.jpg,Baroque,True,Kayvon
335,7220.jpg,Realism,False,Kayvon
336,45137.jpg,Renaissance,True,Kayvon
337,76556.jpg,Expressionism,True,Kayvon
338,1534.jpg,Realism,True,Kayvon
339,91707.jpg,Baroque,True,Kayvon
340,40152.jpg,Realism,True,Kayvon
341,88038.jpg,Realism,True,Kayvon
342,82764.jpg,Impressionism,False,Kayvon
343,46324.jpg,Impressionism,True,Kayvon
344,75326.jpg,Renaissance,False,Kayvon
345,2313.jpg,Renaissance,True,Kayvon
346,5828.jpg,Renaissance,False,Kayvon
347,43988.jpg,Renaissance,True,Kayvon
348,76947.jpg,Expressionism,True,Kayvon
349,32967.jpg,Art Nouveau (Modern),True,Kayvon
350,28197.jpg,Renaissance,True,Kayvon
351,2807.jpg,Realism,True,Kayvon
352,72920.jpg,Renaissance,True,Kayvon
353,52003.jpg,Art Nouveau (Modern),False,Kayvon
354,82695.jpg,Baroque,True,Kayvon
355,46868.jpg,Impressionism,False,Kayvon
356,31283.jpg,Realism,True,Kayvon
357,20699.jpg,Baroque,True,Kayvon
358,73995.jpg,Renaissance,True,Kayvon
359,55651.jpg,Realism,True,Kayvon
360,71965.jpg,Renaissance,True,Kayvon
361,64947.jpg,Impressionism,False,Kayvon
362,60641.jpg,Post-Impressionism,True,Kayvon
363,23361.jpg,Renaissance,True,Kayvon
364,92461.jpg,Art Nouveau (Modern),True,Kayvon
365,55897.jpg,Art Nouveau (Modern),True,Kayvon
366,63752.jpg,Baroque,True,Kayvon
367,58752.jpg,Renaissance,True,Kayvon
368,28838.jpg,Art Nouveau (Modern),True,Kayvon
369,493.jpg,Baroque,False,Kayvon
370,79303.jpg,Post-Impressionism,True,Kayvon
371,93259.jpg,Art Nouveau (Modern),True,Kayvon
372,36741.jpg,Art Nouveau (Modern),True,Kayvon
373,54850.jpg,Art Nouveau (Modern),False,Kayvon
374,90528.jpg,Art Nouveau (Modern),True,Kayvon
375,77603.jpg,Art Nouveau (Modern),False,Kayvon
376,6821.jpg,Art Nouveau (Modern),True,Kayvon
377,19865.jpg,Art Nouveau (Modern),True,Kayvon
378,11195.jpg,Art Nouveau (Modern),True,Kayvon
379,16725.jpg,Art Nouveau (Modern),True,Kayvon
380,12999.jpg,Art Nouveau (Modern),True,Kayvon
381,47115.jpg,Art Nouveau (Modern),True,Kayvon
382,21931.jpg,Art Nouveau (Modern),True,Kayvon
383,34053.jpg,Art Nouveau (Modern),True,Kayvon
384,26665.jpg,Art Nouveau (Modern),False,Kayvon
385,32899.jpg,Art Nouveau (Modern),True,Kayvon
386,83949.jpg,Art Nouveau (Modern),True,Kayvon
387,88641.jpg,Art Nouveau (Modern),True,Kayvon
388,54359.jpg,Art Nouveau (Modern),True,Kayvon
389,19081.jpg,Art Nouveau (Modern),False,Kayvon
390,81691.jpg,Art Nouveau (Modern),True,Kayvon
391,50050.jpg,Art Nouveau (Modern),True,Kayvon
392,84564.jpg,Art Nouveau (Modern),False,Kayvon
393,59772.jpg,Art Nouveau (Modern),True,Kayvon
394,6985.jpg,Art Nouveau (Modern),False,Kayvon
395,33627.jpg,Art Nouveau (Modern),True,Kayvon
396,42340.jpg,Renaissance,True,Kayvon
397,3707.jpg,Post-Impressionism,True,Kayvon
398,79344.jpg,Renaissance,True,Kayvon
399,101178.jpg,Realism,True,Kayvon
400,102518.jpg,Realism,True,Kayvon
401,74814.jpg,Realism,True,Kayvon
402,102765.jpg,Baroque,True,Kayvon
403,85118.jpg,Art Nouveau (Modern),True,Kayvon
404,2165.jpg,Post-Impressionism,True,Kayvon
405,51359.jpg,Baroque,True,Kayvon
406,17040.jpg,Renaissance,True,Kayvon
407,1401.jpg,Baroque,True,Kayvon
408,1244.jpg,Art Nouveau (Modern),True,Kayvon
409,36554.jpg,Renaissance,True,Kayvon
410,15595.jpg,Renaissance,True,Kayvon
411,46104.jpg,Expressionism,True,Kayvon
412,62283.jpg,Art Nouveau (Modern),True,Kayvon
413,12704.jpg,Realism,False,Kayvon
414,14128.jpg,Realism,True,Kayvon
415,46247.jpg,Post-Impressionism,True,Kayvon
416,43269.jpg,Realism,False,Kayvon
417,29774.jpg,Expressionism,False,Kayvon
418,98506.jpg,Baroque,True,Kayvon
419,95715.jpg,Post-Impressionism,False,Kayvon
420,89358.jpg,Art Nouveau (Modern),True,Kayvon
421,60987.jpg,Art Nouveau (Modern),True,Kayvon
422,83057.jpg,Renaissance,False,Kayvon
423,80497.jpg,Renaissance,True,Kayvon
424,14450.jpg,Baroque,True,Kayvon
425,36286.jpg,Renaissance,False,Kayvon
426,17689.jpg,Art Nouveau (Modern),False,Kayvon
427,75659.jpg,Realism,True,Kayvon
428,102351.jpg,Renaissance,True,Kayvon
429,1623.jpg,Renaissance,True,Kayvon
430,95517.jpg,Renaissance,True,Kayvon
431,80713.jpg,Baroque,True,Kayvon
432,14749.jpg,Realism,True,Kayvon
433,50325.jpg,Realism,True,Kayvon
434,377.jpg,Baroque,True,Kayvon
435,9089.jpg,Art Nouveau (Modern),True,Kayvon
436,99398.jpg,Baroque,True,Kayvon
437,11098.jpg,Renaissance,True,Kayvon
438,3238.jpg,Realism,True,Kayvon
439,81461.jpg,Baroque,True,Kayvon
440,89801.jpg,Post-Impressionism,True,Kayvon
441,36557.jpg,Expressionism,False,Kayvon
442,69532.jpg,Baroque,True,Kayvon
443,70630.jpg,Art Nouveau (Modern),False,Kayvon
444,63504.jpg,Post-Impressionism,True,Kayvon
445,95254.jpg,Renaissance,True,Kayvon
446,101538.jpg,Renaissance,True,Kayvon
447,80298.jpg,Art Nouveau (Modern),False,Kayvon
448,25623.jpg,Art Nouveau (Modern),True,Kayvon
449,30689.jpg,Art Nouveau (Modern),False,Kayvon
450,57863.jpg,Art Nouveau (Modern),True,Kayvon
451,92718.jpg,Art Nouveau (Modern),True,Kayvon
452,67366.jpg,Art Nouveau (Modern),True,Kayvon
453,1666.jpg,Art Nouveau (Modern),True,Kayvon
454,75309.jpg,Post-Impressionism,True,Kayvon
455,34200.jpg,Impressionism,False,Kayvon
456,8828.jpg,Expressionism,True,Kayvon
457,38452.jpg,Renaissance,True,Kayvon
458,52023.jpg,Impressionism,True,Kayvon
459,54112.jpg,Renaissance,True,Kayvon
460,30943.jpg,Art Nouveau (Modern),True,Kayvon
461,46546.jpg,Baroque,True,Kayvon
462,48859.jpg,Baroque,False,Kayvon
463,24232.jpg,Baroque,True,Kayvon
464,71531.jpg,Realism,True,Kayvon
465,39817.jpg,Realism,True,Kayvon
466,86058.jpg,Renaissance,False,Kayvon
467,43440.jpg,Art Nouveau (Modern),False,Kayvon
468,85520.jpg,Realism,True,Kayvon
469,32606.jpg,Renaissance,False,Kayvon
470,22787.jpg,Renaissance,True,Kayvon
471,50750.jpg,Renaissance,True,Kayvon
472,21520.jpg,Post-Impressionism,True,Kayvon
473,11269.jpg,Renaissance,True,Kayvon
474,64399.jpg,Baroque,True,Kayvon
475,27061.jpg,Renaissance,True,Kayvon
476,14184.jpg,Art Nouveau (Modern),True,Kayvon
477,46862.jpg,Art Nouveau (Modern),True,Kayvon
478,13182.jpg,Renaissance,True,Kayvon
479,6812.jpg,Renaissance,True,Kayvon
480,10585.jpg,Baroque,True,Kayvon
481,69949.jpg,Art Nouveau (Modern),True,Kayvon
482,52646.jpg,Art Nouveau (Modern),True,Kayvon
483,54739.jpg,Art Nouveau (Modern),False,Kayvon
484,80589.jpg,Art Nouveau (Modern),True,Kayvon
485,101420.jpg,Art Nouveau (Modern),True,Kayvon
486,89588.jpg,Art Nouveau (Modern),True,Kayvon
487,47535.jpg,Art Nouveau (Modern),True,Kayvon
488,86207.jpg,Art Nouveau (Modern),True,Kayvon
489,58613.jpg,Art Nouveau (Modern),False,Kayvon
490,99848.jpg,Art Nouveau (Modern),True,Kayvon
491,36089.jpg,Art Nouveau (Modern),True,Kayvon
492,58201.jpg,Art Nouveau (Modern),False,Kayvon
493,24657.jpg,Art Nouveau (Modern),True,Kayvon
494,50350.jpg,Art Nouveau (Modern),True,Kayvon
495,80639.jpg,Art Nouveau (Modern),True,Kayvon
496,21276.jpg,Impressionism,True,Kayvon
497,38353.jpg,Renaissance,True,Kayvon
498,62756.jpg,Art Nouveau (Modern),True,Kayvon
499,2089.jpg,Art Nouveau (Modern),True,Kayvon
500,5429.jpg,Realism,True,Kayvon
501,85031.jpg,Renaissance,True,Kayvon
502,34599.jpg,Art Nouveau (Modern),False,Kayvon
503,7710.jpg,Expressionism,True,Kayvon
504,66707.jpg,Renaissance,True,Kayvon
505,59737.jpg,Expressionism,False,Kayvon
506,22368.jpg,Art Nouveau (Modern),False,Kayvon
507,3205.jpg,Art Nouveau (Modern),True,Kayvon
508,83168.jpg,Expressionism,True,Kayvon
509,55963.jpg,Renaissance,True,Kayvon
510,39498.jpg,Renaissance,True,Kayvon
511,76811.jpg,Baroque,False,Kayvon
512,48925.jpg,Impressionism,True,Kayvon
513,51197.jpg,Post-Impressionism,True,Kayvon
514,49400.jpg,Renaissance,True,Kayvon
515,31198.jpg,Renaissance,True,Kayvon
516,92685.jpg,Expressionism,True,Kayvon
517,68372.jpg,Art Nouveau (Modern),True,Kayvon
518,24054.jpg,Art Nouveau (Modern),True,Kayvon
519,71781.jpg,Renaissance,True,Kayvon
520,33485.jpg,Renaissance,False,Kayvon
521,4153.jpg,Art Nouveau (Modern),True,Kayvon
522,55437.jpg,Baroque,False,Kayvon
523,85275.jpg,Renaissance,True,Kayvon
524,99737.jpg,Post-Impressionism,True,Kayvon
525,17833.jpg,Art Nouveau (Modern),False,Kayvon
526,40246.jpg,Realism,True,Kayvon
527,24221.jpg,Renaissance,False,Kayvon
528,59451.jpg,Realism,True,Kayvon
529,26562.jpg,Baroque,True,Kayvon
530,17485.jpg,Realism,True,Kayvon
531,12989.jpg,Renaissance,True,Kayvon
532,59861.jpg,Renaissance,False,Kayvon
533,82619.jpg,Realism,True,Kayvon
534,22129.jpg,Art Nouveau (Modern),False,Kayvon
535,81279.jpg,Renaissance,True,Kayvon
536,85347.jpg,Art Nouveau (Modern),False,Kayvon
537,73331.jpg,Realism,True,Kayvon
538,57955.jpg,Renaissance,True,Kayvon
539,21380.jpg,Renaissance,False,Kayvon
540,5409.jpg,Renaissance,True,Kayvon
541,17661.jpg,Renaissance,False,Kayvon
542,23942.jpg,Renaissance,False,Kayvon
543,51973.jpg,Renaissance,True,Kayvon
544,24444.jpg,Baroque,False,Kayvon
545,63255.jpg,Renaissance,False,Kayvon
546,32200.jpg,Renaissance,True,Kayvon
547,70738.jpg,Renaissance,True,Kayvon
548,89577.jpg,Art Nouveau (Modern),True,Kayvon
549,8193.jpg,Art Nouveau (Modern),False,Kayvon
550,62024.jpg,Realism,True,Kayvon
551,36402.jpg,Renaissance,True,Kayvon
552,99133.jpg,Impressionism,True,Kayvon
553,74986.jpg,Baroque,False,Kayvon
554,94129.jpg,Expressionism,True,Kayvon
555,52238.jpg,Impressionism,True,Kayvon
556,30586.jpg,Renaissance,True,Kayvon
557,101370.jpg,Baroque,True,Kayvon
558,43341.jpg,Art Nouveau (Modern),True,Kayvon
559,36439.jpg,Impressionism,False,Kayvon
560,65732.jpg,Renaissance,True,Kayvon
